block_id,condition_id,evaluations,task_successes,tracking_passes,safety_passes,compound_passes,mean_mre,mean_nrmse,mean_contact_fraction,mean_peak_force_n,maximum_peak_force_n,force_limit_violation_samples,violation_episodes,mean_episode_length_samples
B0,nominal,15,15,11,15,11,0.09182087709316128,0.12171242270038067,0.7437114191600158,8.295610014597575,13.093436241149902,0,0,910.7333333333333
B0,delay_1sample,15,15,12,15,12,0.0825131994968593,0.11410480884871027,0.7444443366623925,8.903941440582276,14.219889640808105,0,0,919.8666666666667
B0,delay_2samples,15,12,11,12,11,0.13249385300205735,0.17681864903583994,0.6155415240866711,9.492522716522217,16.301864624023438,3,3,771.3333333333334
B0,delay_5samples,15,11,11,11,11,0.14527258396257917,0.208017640984723,0.5700866895617658,10.4358642578125,16.674457550048828,4,4,723.3333333333334
B0,force_bias_m0p4n,15,15,14,15,14,0.06406814759781378,0.10589433699825546,0.7446740264004421,8.875301837921143,13.507768630981445,0,0,914.2666666666667
B0,force_bias_m0p8n,15,15,14,15,14,0.07444310903561921,0.1187681559051734,0.7455362570358511,9.491140174865723,14.051385879516602,0,0,916.8666666666667
B0,force_bias_p0p4n,15,15,10,15,10,0.1371157583632699,0.1562593346234668,0.7407385373696963,7.9084520975748696,12.247395515441895,0,0,907.0666666666667
B0,force_bias_p0p8n,15,15,3,15,3,0.1859433788254382,0.19976539170426216,0.7385120481159032,7.491196314493815,11.414772033691406,0,0,900.2666666666667
B0,force_noise_rms_0p035n,15,15,12,15,12,0.08974426539654418,0.11990527975612049,0.7422379684667829,8.38557923634847,12.890447616577148,0,0,909.4666666666667
B0,normal_error_1deg,15,15,12,15,12,0.08744664068528017,0.12135930448352855,0.7419393603958024,8.460989284515382,13.295920372009277,0,0,913.0666666666667
B0,normal_error_3deg,15,15,12,15,12,0.0932290477329783,0.13411239128623312,0.7429159641743137,8.745214907328288,14.1785888671875,0,0,912.2
B0,normal_error_5deg,15,11,9,14,9,0.14176103650139088,0.190168829816771,0.6811865789509188,9.222717030843098,15.266149520874023,1,1,950.7333333333333
B0,tcp_pose_error_0p05mm,15,15,12,15,12,0.08934024536245516,0.12118215185487875,0.741776496170419,8.259182516733805,12.447549819946289,0,0,910.7333333333333
B0,tcp_pose_error_0p1mm,15,15,11,15,11,0.09291727915726011,0.12209446344479033,0.7437400040254534,8.263018830617268,12.818921089172363,0,0,911.5333333333333
S1,nominal,15,15,7,15,7,0.15221764999228465,0.17349382198996335,0.766167201249709,7.863812065124511,12.30019760131836,0,0,865.6
S1,delay_5samples,15,14,12,14,12,0.130558004067722,0.16931766926629901,0.7266760749019212,9.071470801035563,15.049751281738281,1,1,822.8666666666667
S1,force_bias_m0p8n,15,15,13,15,13,0.07860717360916063,0.1102320582227571,0.768266048761838,8.423639074961345,11.648460388183594,0,0,872.3333333333334
S1,force_bias_p0p8n,15,14,0,15,0,0.2528104030594781,0.2648723182151533,0.7418712396286774,7.226264127095541,12.872952461242676,0,0,883.0666666666667
S1,force_noise_rms_0p035n,15,15,6,15,6,0.16344935717548478,0.1765161936127775,0.7667717844906825,7.658734448750814,12.49361515045166,0,0,868.7333333333333
S1,normal_error_5deg,15,12,8,15,8,0.12581462727833784,0.17108636933092847,0.732457053223912,8.264876588185627,12.234735488891602,0,0,950.6
S1,tcp_pose_error_0p1mm,15,15,7,15,7,0.1610109008640464,0.17334763280422955,0.7664698086854269,7.538855202992758,10.892328262329102,0,0,864.7333333333333
S2,nominal,15,12,6,13,6,0.19042772349541393,0.24489850196054624,0.6659485544331333,11.582958316802978,17.904531478881836,2,2,833.4
S2,delay_5samples,15,9,5,10,5,0.18986151419665295,0.2583396757608842,0.5725371954755462,12.800724601745605,26.084163665771484,5,5,708.1333333333333
S2,force_bias_m0p8n,15,10,4,10,4,0.23891169666458442,0.3020390725980799,0.5790067958749968,13.34787425994873,22.337003707885742,5,5,709.0
S2,force_bias_p0p8n,15,13,9,13,9,0.18165255680833728,0.23097755351270785,0.675714695246823,10.70703681310018,18.03135871887207,2,2,834.8
S2,force_noise_rms_0p035n,15,11,7,11,7,0.18243534045657414,0.24266247945211925,0.6271488249433204,12.179516474405924,18.67879867553711,4,4,762.0666666666667
S2,normal_error_5deg,15,7,7,12,5,0.19687397558047512,0.2557348829809005,0.6395173400977552,11.904394594828288,21.315593719482422,3,3,907.4666666666667
S2,tcp_pose_error_0p1mm,15,14,7,14,7,0.17881229154464628,0.23306901580120257,0.7036899286400093,11.102397123972574,18.490623474121094,1,1,876.0666666666667
