arm,factor,level,evaluations,joint_passes,task_successes,tracking_passes,mean_mre,mean_nrmse,maximum_peak_force_n,violation_samples
M1_fixed_objective_fixed_compute,friction,mu_0.30,15,12,15,12,0.09372534526874811,0.12385304293889628,11.284406661987305,0
M1_fixed_objective_fixed_compute,friction,mu_0.70,15,11,15,11,0.10171282882507572,0.12875978796449883,12.573016166687012,0
M1_fixed_objective_fixed_compute,path,arc,15,11,15,11,0.10665042892218354,0.13202510895739702,11.971480369567871,0
M1_fixed_objective_fixed_compute,path,s_curve,15,11,15,11,0.10094836188764554,0.12815815365541028,12.306785583496094,0
M1_fixed_objective_fixed_compute,reference,reference,15,10,15,10,0.10764864569082119,0.13297739801251066,11.397551536560059,0
M1_fixed_objective_fixed_compute,support_stiffness,1600_N_per_m,15,10,15,10,0.10837758965551722,0.13410982626207293,11.936644554138184,0
M1_fixed_objective_fixed_compute,support_stiffness,3400_N_per_m,15,10,15,10,0.10771958568486657,0.1340751106458085,11.538704872131348,0
M1_fixed_objective_fixed_compute,surface,cylinder_r1.2m,15,7,13,7,0.18566287388647174,0.24104565293352528,17.399295806884766,2
M1_fixed_objective_fixed_compute,surface,incline_10deg,15,3,15,3,0.1823306058727612,0.20099280955982704,12.26958179473877,0
M4_full_adaptive,friction,mu_0.30,15,15,15,15,0.07124968352188706,0.11176350447333706,12.200003623962402,0
M4_full_adaptive,friction,mu_0.70,15,12,15,12,0.08624627500137151,0.11747942249940074,13.044554710388184,0
M4_full_adaptive,path,arc,15,13,15,13,0.0796507610312026,0.11629920653861735,13.220990180969238,0
M4_full_adaptive,path,s_curve,15,12,15,12,0.08280350960368427,0.1157013361334184,12.174965858459473,0
M4_full_adaptive,reference,reference,15,11,15,11,0.09182087709316128,0.12171242270038067,13.093436241149902,0
M4_full_adaptive,support_stiffness,1600_N_per_m,15,12,15,12,0.08716392204123066,0.11862769766402481,13.07170581817627,0
M4_full_adaptive,support_stiffness,3400_N_per_m,15,12,15,12,0.08838318370481585,0.1204626398594791,13.095376014709473,0
M4_full_adaptive,surface,cylinder_r1.2m,15,6,12,6,0.19042772349541393,0.24489850196054624,17.904531478881836,2
M4_full_adaptive,surface,incline_10deg,15,7,15,7,0.15221764999228465,0.17349382198996335,12.30019760131836,0
